code,name,est_sum_total_est
153163,آزادراه زنجان - قزوين (تاکستان),360195
153113,آزادراه قزوين - زنجان (تاکستان),360187
513102,سلفچگان - اراک (کارچان),358883
153162,آزادراه زنجان - قزوين (اقباليه),356959
313273,مشهد - نيشابور (نيشابور),356519
163551,گلوگاه - بهشهر,356230
214239.0,آزادراه کاشان - نطنز(جنب WIM),355610
113204,آزادراه تهران - ساوه (عوارضي تهران),352617
543269,تقاطع سراوان - رشت,350569
513103,اراک - بروجرد,349776
214206,آزادراه نطنز - کاشان (کاشان),348400
323151,شيروان - بجنورد (بجنورد),347957
643155,بندررجائي - بندرعباس (تقاطع غير همسطح),346517
163257,آمل - رودهن (آمل - پارک جنگلي آمل),346511
164701,نکا - بهشهر,345854
163401,فريدونکنار - محمودآباد,345377
953151,چغادک - بوشهر (چغادک),345071
643105,بندرعباس - بندررجائي (تقاطع غير همسطح),343977
543219,رشت - تقاطع سراوان,340710
753152,همدان - سه‌راهي صالح‌آباد,340581
973351,آزادشهر - علي آباد,339367
543954,تالش - اسالم,338663
143110,سلفچگان - راهجرد (سلفچگان),338598
114103,رباط کريم - شهريار,338378
214701,نجف‌آباد - تيران,337994
413152,سپيدان - شيراز (سه‌راهي قلات - سپيدان),337584
323101,بجنورد - شيروان (بجنورد),336510
113959,صفادشت - ملارد,336405
143105,قم - سلفچگان (قم),336306
753151.0,همدان - کوريجان,336169
163207,رودهن - آمل (پارک جنگلي آمل - آمل),336161
163560,کردکوي - گلوگاه (گلوگاه),335892
113904,تهران - شهريار (شهر قدس),334967
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),333452
543659.0,رامسر - چابکسر (مرز استان),333430
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),330088
913276,آستارا - اردبيل (گيلانده - اردبيل),329144
753558,کوريجان - همدان (سامانه WIM),329126
973401,کردکوي - گلوگاه,327835
153154,آزادراه زنجان - قزوين (مرز استان - تاکستان),326533
414251,کمربندي اکبرآباد شيراز (شمال - جنوب),326446
753101.0,کوريجان - همدان,324507
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),324401
973301.0,علي آباد - آزادشهر,323111
513152.0,اراک - سلفچگان (کارچان),321797
753508,همدان - کوريجان (سامانه WIM),320709
413156,کوار - شيراز (سه‌راهي کوار - شيراز),320230
215115,مورچه خورت - شاهين شهر(جنب WIM),319652
543651,چابکسر - کلاچاي,319032
214751,تيران - نجف‌آباد,318750
143175,راهجرد - سلفچگان,318639
113603,آزادراه تهران، قم - فرودگاه امام خميني,318215
813102,خرم‌آباد - سه‌راهي چالان چولان (بروجرد),318151
713853,سه راهي هرسين - بيستون,314574
543601,کلاچاي - چابکسر,313953
573151,مهاباد - اروميه (رشکان - اروميه),313776
143168.0,سلفچگان - قم,313322
143155,سلفچگان - قم (قم),310222
414201,کمربندي اکبرآباد شيراز (جنوب - شمال),309480
413106,شيراز - کوار (شيراز - سه‌راهي کوار),309376
113474,آبعلي - رودهن,308773
953114,خروجي بوشهر (بوشهر - چغادک),308520
215165,شاهين شهر - مورچه خورت(جنب WIM),306139
183164,جاده قديم قزوين - کرج (کمالشهر),305886
543609.0,چابکسر - رامسر (مرز استان),305484
913225,اردبیل - نير (اردبیل),304972
713803,بيستون - سه راهي هرسين,304212
163271,آمل- رودهن(پلور- امامزاده هاشم),303840
813258,پلدختر - خرم‌آباد (چم انجير),302514
143160,راهجرد - سلفچگان (سلفچگان),301539
113954,شهريار - تهران (شهر قدس),301165
163214,آمل - رودهن (شاه زيد - سه راه بلده),299938
213103,اصفهان - مورچه‌خورت (پليس‌راه),299389
213153,مورچه‌خورت - اصفهان (پليس‌راه),297109
