,code,name_x,est_sum_total_est_x,est_sum_total_est_y,growth_rate
2176,753604.0,کبودرآهنگ - شيرين سو,27778,19670.0,41.220132180986276
296,164655.0,کرج - چالوس (سياه بيشه - هزارچم),286684,205199.0,39.71023250600636
1466,364405.0,ماهشهر - رامشير(سه راه سرانجام),63385,45391.0,39.64221982331299
1700,714151.0,ايوان - اسلام‌آباد (زرنه - سرمست),48414,34716.0,39.457310750086414
571,263351.0,تبريز - سهند,192292,137964.0,39.37838856513293
1627,833261.0,سومار - زرنه,53299,38304.0,39.147347535505425
540,753228.0,مجموع گيت هاي عوارضي همدان - ساوه (همدان),201051,144490.0,39.1452695688283
2559,184207.0,گچسر - ديزين,8028,5802.0,38.36608066184075
2216,643856.0,فارياب - هشتبندي,26318,19029.0,38.30469283724841
1254,573557.0,مرند - ايواغلي,80450,58417.0,37.71676053203691
2306,613654.0,سرباز - مهرستان,21756,15800.0,37.69620253164557
854,453702.0,انار - رفسنجان,129434,94313.0,37.23876878054987
566,513662.0,جاده قديم تهران - ساوه (شهرک صنعتي کاوه - ساوه),193275,140888.0,37.183436488558286
2452,214602.0,انارک - خور (سه‌راهي جندق - خور),15040,10976.0,37.02623906705539
39,213113.0,آزادراه اصفهان - زرين شهر( فلاورجان),723175,528244.0,36.90169694307933
2437,333275.0,سه قلعه (سرايان) - بيرجند,15990,11712.0,36.52663934426229
17,113210.0,آزادراه تهران - قم (عوارضي تهران),968133,709135.0,36.5230879874777
1171,363651.0,آبادان - بندر امام خميني (خوردورق),90012,65934.0,36.51833651833652
1105,213918.0,شهرضا - دهاقان(گلشن),98185,72024.0,36.322614683994225
1084,164301.0,جويبار - قائمشهر,100362,73737.0,36.10805972578217
819,713251.0,اسلام آباد - حميل,136848,100549.0,36.10080657192016
595,573223.0,اروميه - امام زاده,184760,135776.0,36.077068112184776
2054,833105.0,مهران - مرز مهران,32435,23846.0,36.01861947496435
1566,913551.0,بران - سه‌راهي سربند,56162,41327.0,35.89662932223486
922,713252.0,دالاهو - اسلام آباد,120331,88556.0,35.88125028230724
324,363363.0,خرم‌آباد - انديمشک (انديمشک) (متناظر توزين),272114,200381.0,35.798304230441005
2225,573301.0,پيرانشهر - مرز تمرچين,26149,19317.0,35.36781073665683
350,363313.0,انديمشک - خرم‌آباد (انديمشک),262121,193855.0,35.21498026875758
435,213971.0,ایزدخواست - شهرضا (منظریه),233569,173186.0,34.86598223874909
901,953201.0,چغادک - خورموج (خورموج),122923,91193.0,34.79433728466
2290,363351.0,جاده قديم پل زال - انديمشک,22912,17007.0,34.720997236432055
2381,363301.0,جاده قديم انديمشک - پل زال,18991,14137.0,34.33543184551178
793,713105.0,کرمانشاه - کوزران,140705,104772.0,34.29637689459016
310,153136.0,آزادراه قزوين - آبيک (عوارضي 1 قزوين),279010,208390.0,33.88838235999808
689,263703.0,مرند - ايواغلي (مرند - کشکسراي),161741,120934.0,33.74319876957679
81,143123.0,کمربندي قم (قم - کاشان),561266,420110.0,33.5997714884197
14,113260.0,آزادراه قم - تهران (عوارضي تهران),1056654,793980.0,33.083201088188616
1225,773110.0,جونقان - سه راهي جونقان,83119,62867.0,32.2140391620405
235,163501.0,بهشهر - گلوگاه,329520,249603.0,32.017644018701695
917,143120.0,جمکران - قم (بلوار پيامبر اعظم),121042,91932.0,31.664708697733108
2367,453113.0,شهداد - نهبندان (شهداد),19378,14731.0,31.54571991039305
1294,773303.0,بروجن - مبارکه (بروجن),76351,58115.0,31.379162006366684
234,113428.0,جاده مخصوص تهران - کرج (وردآورد),333738,255028.0,30.863277757736405
965,573104.0,اروميه - تبريز (شهيد کلانتري),115559,88358.0,30.78498834287784
2543,613651.0,کوهک - سراوان,9159,7018.0,30.507267027643202
1827,323260.0,جاده قديم آشخانه - بجنورد,41855,32106.0,30.365040802342243
2234,643806.0,هشتبندي - فارياب,25724,19737.0,30.333890662208034
2251,314252.0,لطف آباد-درگز,24997,19198.0,30.20627148661319
1477,183120.0,کرج - چالوس (کندوان),62648,48124.0,30.180367384257334
341,113299.0,آزادراه شمال - تهران (قطعه اول - محدوده عواضي تهران),264890,203606.0,30.09930945060558
660,213234.0,نطنز - اردستان (آزادراه کنار گذر شرقي - کيلومتر30),168776,129733.0,30.094887191385382
2495,333224.0,اسديه - گزيک (مرز),12692,9770.0,29.9078812691914
1383,163305.0,بابل - کياکلا,68182,52603.0,29.616181586601524
951,453601.0,بردسير - باغين (متناظر توزين),117285,91199.0,28.603383809032994
1160,313855.0,مهنه - فيض‌آباد,90994,70867.0,28.401089364584365
1983,573506.0,خوي - چالدران,34688,27118.0,27.915037982152075
576,213284.0,اردستان - نطنز (آزادراه کنار گذر شرقي - کيلومتر30),190710,149237.0,27.79002526183185
1616,613559.0,مرز ميلک-زهک,53970,42241.0,27.766861579981533
69,113208.0,آزادراه ساوه - تهران (رباط کريم-تهران),592624,464044.0,27.708579358853903
119,413102.0,شيراز - سپيدان (شيراز - سه‌راهي قلات),474958,373099.0,27.300796839444757
476,714202.0,بيستون - صحنه,219606,172732.0,27.136836255007758
2405,413656.0,ياسوج - اقليد(دژکرد),17764,13976.0,27.10360618202633
838,733602.0,دهگلان - قروه,133656,105281.0,26.951681689953556
2482,733507.0,ديواندره - تکاب,13583,10754.0,26.306490608145804
505,264202.0,بناب - ملکان,211664,167847.0,26.105322108825302
1442,363851.0,شلمچه - خرمشهر (پايانه مرزي),64695,51376.0,25.924556213017752
2281,333458.0,حاجي آباد - قاين,23373,18569.0,25.871075448327858
1650,773109.0,هاروني - سورشجان,51816,41312.0,25.426026336173507
75,163255.0,محمودآباد - آمل,571859,456710.0,25.212717041448624
1640,833211.0,زرنه - سومار,52546,42058.0,24.93699177326549
816,953152.0,دير - بوشهر (عامري),137129,109759.0,24.936451680500006
754,114206.0,تهران - وردآورد (همت),148592,118983.0,24.88506761470126
303,873104.0,سمنان - دامغان (قوشه - دامغان),284683,228194.0,24.754813886429968
986,573202.0,اروميه - جزيره اسلامي (پل ميانگذر درياچه),113407,91020.0,24.59569325422984
2487,733557.0,تکاب - ديواندره,13354,10723.0,24.536044017532408
10,153160.0,آزادراه کرج - قزوين (عوارضي 2 قزوين),1166106,936758.0,24.48316427508492
709,813107.0,آزادراه خرم‌آباد - انديمشک (خرم‌آباد - پل زال),158421,127356.0,24.39225478187129
1560,574403.0,سه راهي حيدر آباد - نقده,56457,45399.0,24.35736469966299
272,313101.0,سه‌راه باغچه - نيشابور (ابرش),301282,242349.0,24.31741001613376
110,215203.0,اصفهان - شهرضا (سه‌راهي مبارکه) (متناظر توزين),489193,393566.0,24.297576518296804
1727,513151.0,خنداب - سه راهي خنداب,46529,37448.0,24.24962614825892
161,413152.0,سپيدان - شيراز (سه‌راهي قلات - سپيدان),419020,337584.0,24.123181193421487
430,263111.0,آزادراه تبريز - زنجان (تبريز - عوارضي تبريز),235524,189786.0,24.099775536657077
992,643126.0,سه راه بندرپل - بندرپل,111207,89632.0,24.070644412709747
1065,114358.0,آزادراه آبيک - چرمشهر (تقاطع آزادراه تهران - ساوه),102139,82349.0,24.031864382081142
2378,453163.0,نهبندان - شهداد (شهداد),19167,15456.0,24.01009316770186
2248,314202.0,درگز-لطف آباد,25075,20252.0,23.81493185858187
1335,453930.0,شهربابک - سيرجان (شهربابک) (متناظر توزين),72219,58360.0,23.747429746401643
164,114103.0,رباط کريم - شهريار,418350,338378.0,23.633924191289033
1365,773353.0,مبارکه - بروجن (بروجن),69434,56260.0,23.416281549946678
1174,813251.0,نورآباد - فيروزآباد,89750,72850.0,23.198352779684285
1879,333265.0,ده محمد - طبس,39605,32148.0,23.19584422048028
1117,643351.0,بندرلنگه - بندر خمير,96893,78656.0,23.18577095199349
1239,773507.0,لردگان - دهدز (تونل قتح),82460,67019.0,23.039735000522242
625,163701.0,محمودآباد - نور,178008,144722.0,22.99995854120313
1934,574501.0,اشنويه - پيرانشهر (سه‌راهي جلديان),36974,30090.0,22.87803256895979
1181,313352.0,فريمان - مشهد (عوارضي فريمان),88555,72139.0,22.756068146217718
323,873301.0,شاهرود - ميامي (متناظر توزين),272350,222349.0,22.48762081232657
1006,643110.0,بندرعباس - لار (سه‌راهي کهورستان - سه‌راهي بستک),109908,89766.0,22.43833968317626
342,713103.0,کرمانشاه - ماهیدشت,264697,216339.0,22.35288135749911
1378,313701.0,تربت‌جام - تايباد (تربت‌جام),68451,55987.0,22.2623108936003
1025,833156.0,سرابله - ايلام,107816,88274.0,22.13788884609285
633,853101.0,ياسوج - بابا ميدان,175711,144043.0,21.98510167102879
1336,773160.0,سه راهي جونقان - جونقان,71991,59087.0,21.838983194272853
742,713155.0,کوزران - کرمانشاه,151141,124374.0,21.52137906636435
2006,414357.0,فراشبند - فيروزآباد,34026,28029.0,21.395697313496736
530,973553.0,مينودشت - گنبد,203999,168356.0,21.17120862933308
1966,314104.0,خواف - رشتخوار,35663,29501.0,20.887427544828988
172,543659.0,رامسر - چابکسر (مرز استان),402694,333430.0,20.773175779024083
1410,313120.0,جاده قديم مشهد - چناران,66285,54940.0,20.649799781579905
852,773401.0,فارسان - چلگرد (فارسان),130427,108145.0,20.60381894678441
2058,913603.0,سه راهي سرچم - خلخال,32293,26807.0,20.464803969112545
737,114101.0,تهران - حسن آباد (جاده قديم قم),152603,126722.0,20.423446599643313
274,163262.0,رودهن - آمل (سه راه سنگچال - پارک جنگلي),300659,249722.0,20.39748199998398
1059,414108.0,فسا - داراب,102431,85088.0,20.382427604362544
42,113813.0,تهران - جاجرود (متناظر توزين),701466,583152.0,20.288706889455923
1017,643162.0,سه‌راهي فارياب - سه‌راهي چاه اسماعيل,108866,90569.0,20.20227671719904
18,113253.0,آزادراه قم - تهران (مجتمع ياس),944864,786141.0,20.190144007245518
206,543609.0,چابکسر - رامسر (مرز استان),366768,305484.0,20.061279805161643
1944,873305.0,ميامي - ري آباد,36584,30544.0,19.774751178627554
1429,813302.0,سه راهي زانوگه - پل سيمره,65265,54517.0,19.71495129959462
1459,453927.0,کمربندي سيرجان - شهربابک,63585,53142.0,19.651123405216214
316,873155.0,سرخه - سمنان,276521,231119.0,19.644425598933882
2196,643116.0,جاسک - ليردف,27244,22783.0,19.58038888645042
338,164104.0,چالوس - کرج (دوآب - مرزن آباد),265635,222160.0,19.569229384227587
1305,333451.0,گناباد - قائن (گناباد - خضري),75530,63338.0,19.249107960466073
1848,813252.0,فيروزآباد - الشتر,40516,34025.0,19.077149155033062
1216,213651.0,داران - اليگودرز (داران - بويين مياندشت),84002,70608.0,18.969521867210513
1461,833306.0,سه راهي ملکشاهي - بدره,63506,53406.0,18.9117327641089
905,573551.0,خوي - سه راه ايواغلي,122270,102835.0,18.89920746827442
1060,364558.0,دزفول - شوشتر (دزفول),102431,86162.0,18.881873679812447
1118,114308.0,آزادراه چرمشهر - آبيک (تقاطع آزادراه تهران - ساوه),96807,81482.0,18.807834859232713
746,974253.0,سه راهي کلاله - کلاله,150293,126536.0,18.77489410128343
298,113418.0,دماوند - فيروزکوه (سربندان - امين‌آباد),285870,240807.0,18.713326439846018
339,313901.0,چناران - قوچان (چناران - سه‌راه چکنه),265254,223618.0,18.61925247520325
347,753154.0,آزادراه ساوه - همدان (دخان - پل 123),263612,222306.0,18.58069507795561
2217,153101.0,جاده قديم قزوين - رشت (کوهين - لوشان),26309,22189.0,18.56775879940511
300,113478.0,جاده مخصوص کرج - تهران (وردآورد),285431,240736.0,18.56598099162568
34,114160.0,عوارضي آزادراه تهران - ساوه (تهران)(مجموع گيت ها),735567,620405.0,18.562390696399934
1402,323254.0,جاجرم - گرمه,66908,56442.0,18.542929024485314
1141,643160.0,لار - بندرعباس (سه‌راهي بستک - سه‌راهي کهورستان),93496,78879.0,18.53091443857047
747,953178.0,اهرم - چغادک,150240,126889.0,18.40269842145497
390,413111.0,کوار - شيراز (کوار - سه‌راهي کوار),246253,207998.0,18.392003769267014
2579,333454.0,خواف - قائن (فرخي),6242,5274.0,18.354190367842246
703,363102.0,اهواز - آبادان (اهواز - دارخوين),159607,134925.0,18.293125810635537
667,753106.0,ملاير - جوکار,166913,141106.0,18.289087636245092
1705,335603.0,نهبندان - شوسف,48148,40715.0,18.256170944369394
121,153105.0,آزادراه قزوين - رشت (قزوين - محمودآباد),469716,397367.0,18.207098224059873
1390,314353.0,قوچان - سبزوار (سلطان‌آباد - سبزوار),67732,57314.0,18.17705970617999
882,713201.0,حميل - اسلام آباد,125681,106404.0,18.11680012029623
2587,613222.0,دلگان - جلگه ,5672,4803.0,18.092858630022903
1540,853215.0,بهمئي - بهبهان,58028,49182.0,17.98625513399211
1872,733154.0,ديواندره - بيجار,39884,33835.0,17.877937047436088
2209,773301.0,بروجن - شهرضا (بروجن),26502,22510.0,17.734340293203022
