code,name,avg_speed_1to3,avg_spped_total,diff_speed
953754,وحدتيه - سعدآباد,71,73,2
363280,مسجدسليمان - ملاثاني,84,86,2
363204,اهواز - حميديه,57,59,2
543169,صومعه سرا - طاهرگوراب,78,80,2
543170,منطقه آزاد - گورابجير,56,58,2
362163,شوشتر - مسجدسليمان (سه‌راهي گاو سوار - مسجدسليمان),63,65,2
543281,پيربازار - خمام,60,62,2
543301,خمام - انزلي,67,69,2
543351,انزلي - خمام (متناظر توزين),59,61,2
543602,رودسر - کلاچاي,74,76,2
543652,کلاچاي - رودسر,71,73,2
333274,گزيک (مرز) - اسديه,87,89,2
544251,فومن - بازارجمعه,71,73,2
333230,بيرجند - قاين (بيرجند),98,100,2
953755,سياه مکان - گناوه,69,71,2
363451.0,لردگان - دهدز (دهدز),67,69,2
573304,پيرانشهر - سردشت,75,77,2
363702,بهبهان - ديلم (خروجي خوزستان),48,50,2
414311.0,فراشبند - بوشکان,73,75,2
414606,گراش - اوز,88,90,2
414607.0,لار - لامرد,71,73,2
414704,لامرد - بندر عباس,76,78,2
413606,اقليد - ياسوج(دژکرد),55,57,2
414751,مهر - لامرد,93,95,2
414755,احشام - لامرد,78,80,2
413305.0,قادرآباد - خوانسار,65,67,2
413217.0,سروستان - فسا (سروستان - سه‌راهي فسا),72,74,2
413157.0,محور قديم فيروزآباد - جم (فيروزآباد),67,69,2
414951.0,گچساران - نورآباد (گچساران - باباميدان),67,69,2
453104.0,جوپار - کرمان,84,86,2
364454,باغملک - رامهرمز,42,44,2
364404,رامهرمز - باغملک,53,55,2
363853,آبادان - خرمشهر,56,58,2
333101,سرايان - بيرجند (سرايان),90,92,2
573655,مرزکيله - سردشت,47,49,2
714102,گيلانغرب - سرمست,75,77,2
643283.0,سندرک - بشاگرد,46,48,2
643352,عسلويه - پارسيان (بندو - پارسيان),74,76,2
643356,سه راهي چهوو - بندرمقام,38,40,2
673125,طارم - خلخال (مرز استان),61,63,2
673126,طارم - ماسوله (مرز استان),67,69,2
713301,نوسود - پايانه مرزي گمرک نوسود,32,34,2
713302,پاوه - نوسود,43,45,2
713304,شيخ صله - پايانه شيخ صله,38,40,2
713451,پاوه - روانسر (سه‌راهي بپاپوش),50,52,2
713501,سرپل ذهاب - قصر شيرين,74,76,2
713551,قصرشيرين - سرپل ذهاب,81,83,2
973202,بندر ترکمن - سه راهي يساقي,77,79,2
973252,سه راهي يساقي - بندر ترکمن,79,81,2
713803,بيستون - سه راهي هرسين (متناظر توزين),80,82,2
713902.0,کنگاور - سه راهي نهاوند,63,65,2
714101,اسلام‌آباد - ايوان (سرمست - زرنه),69,71,2
643302,پارسيان - عسلويه (پارسيان - بندو),86,88,2
313130,مشهد - کلات (مشهد - چنار),80,82,2
323151,شيروان - بجنورد (بجنورد),86,88,2
643233,بشاگرد - سندرک,53,55,2
573916,درگه سنگ - محمديار (سه راهي محمديار) (متناظر توزين),82,84,2
574101,بازرگان - ماکو,83,85,2
574155,ماکو - سه‌راهي ايواغلي (مرگنلر - قره ضياءالدين),75,77,2
574551,پيرانشهر - اشنويه (سه‌راهي جلديان),65,67,2
314305,قوچان - سبزوار (سه‌راه چکنه - سلطان‌آباد),66,68,2
613243.0,ايرانشهر - ايرندگان (سايگان),78,80,2
314253,کلات - درگز (کيلومتر 13),89,91,2
314202,درگز-لطف آباد,68,70,2
314201,درگز - قوچان (درگز - امام قلي),81,83,2
953704,سعدآباد - وحدتيه,57,59,2
313961,باجگيران - قوچان (باجگيران - امام قلي),92,94,2
313911,قوچان - باجگيران (امام قلي - باجگيران),78,80,2
643111,بندرلنگه - پارسيان,90,92,2
643176,بندر پل - سه راه بندرپل,73,75,2
163216,آمل - رودهن (پنجاب - گزنک),53,55,2
313160,سرخس - مشهد (آبروان - رضويه),76,78,2
414402,کازرون - برازجان (کازرون - کنارتخته),80,82,2
933165,خرانق - يزد,64,66,2
163105,ساري - جويبار,58,60,2
114153,شهريار - رباط کريم,74,76,2
933401,بافق - نوق,60,62,2
853453,دهدست - پاتاوه,72,74,2
853151,باباميدان - ياسوج,74,76,2
953102,بوشهر - دير (عامري),68,70,2
833356,بدره - سه راهي ملکشاهي,80,82,2
933108,يزد - خويدک,72,74,2
853157,سي سخت - ياسوج,47,49,2
143301,جمکران - کوه خضر,37,39,2
853103,ياسوج - سپيدان,79,81,2
953115,عالي شهر - نيروگاه اتمي,94,96,2
953164,ورودي بوشهر (چغادک بوشهر),87,89,2
933804,ميبد - ندوشن,77,79,2
913401,بيله سوار - سه راهي بيله سوار,66,68,2
833658,سه راهي چهارمله - سرابله,65,67,2
913402,سه راهي بيله سوار - گرمي,77,79,2
113463,پلور - آبعلي (امامزاده هاشم - سه‌راهي مشاء),67,69,2
853301.0,گچساران - باباميدان (بوستان),66,68,2
933115,يزد - خرانق,65,67,2
853153,سپيدان - ياسوج,83,85,2
933752,انار - مهريز (مهريز),80,82,2
913510,جعفرآباد - بيله سوار,84,86,2
953352,بردخون کهنه - دير(جاده ساحلي),79,81,2
833754,ملکشاهي - مهران,82,84,2
163205,آمل - محمودآباد,66,68,2
913103,اردبيل - سرعين,66,68,2
114101,تهران - حسن آباد (جاده قديم قم),60,62,2
153187,آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2),53,55,2
364303,سوسنگرد - هويزه,48,49,1
363653,بندر امام - ماهشهر,82,83,1
733228,سنندج - سروآباد,55,56,1
733225,سنندج - مريوان (سنندج),85,86,1
643602,سه راهي فارياب - زيارتعلي,53,54,1
453931,سيرجان - پاريز,90,91,1
643603,زيارتعلي - فارياب,41,42,1
143167,آزادراه قم - تهران (رستوران مهتاب),100,101,1
753284,تويسرکان - همدان(گنجنامه),43,44,1
953651,عسلويه - کنگان,91,92,1
853158,اقليد - ياسوج (ياسوج),40,41,1
643653.0,فارياب - زيارتعلي,38,39,1
973852,گنبد - آق قلا,77,78,1
933765,کوهبنان - بهاباد (مرز استان),87,88,1
953801,ديلم - هنديجان,93,94,1
853251,چرام - دهدشت,77,78,1
714152,سرمست - گيلانغرب,77,78,1
714151,ايوان - اسلام‌آباد (زرنه - سرمست),76,77,1
973952,گنبد - آزادشهر,70,71,1
313108,مشهد - سرخس (سرخس),79,80,1
853201,دهدشت - چرام,76,77,1
733708,مريوان - سروآباد,53,54,1
214255,آزادراه نطنز - کاشان (نطنز),102,103,1
913153,سرعين - اردبيل,71,72,1
733701,مريوان - باشماق,78,79,1
213701,سه راهي ازون بلاغ - فريدونشهر,84,85,1
733657,موچش - دهگلان,78,79,1
643353,بندرچارک - سه راهي چارک,67,68,1
853105,ياسوج - پاتاوه,66,67,1
153161,آزادراه کرج - قزوين (آبيک),90,91,1
264802,سه‌راهي خواجه - سه‌راهي هريس,80,81,1
853101,ياسوج - بابا ميدان,84,85,1
363753,سه راهي آغاجاري - بهبهان,84,85,1
264752,عاشقلو - کليبر,41,42,1
213971,ایزدخواست - شهرضا (منظریه),70,71,1
323304.0,آشخانه - چمن بيد (چمن بيد),61,62,1
313102,مشهد - سرخس (مشهد - رضويه),75,76,1
873328,شاهرود - گرگان,59,60,1
264751,جانانلو - کليبر,40,41,1
873403,ايوانکي - گرمسار,93,94,1
153173,معلم کلايه - قزوين,67,68,1
733413,بانه - سقز (بانه),68,69,1
213501,سميرم - ياسوج( سه‌راهي پاتاوه),80,81,1
214239,آزادراه کاشان - نطنز (متناظر توزين),104,105,1
153186,آزادراه آبيک - قزوين (عوارضي 1 قزوين),72,73,1
453553,فهرج - نرمانشير,71,72,1
323305,آشخانه - رازجرگلان,74,75,1
933663,جرقوييه - ابرکوه,73,74,1
713951,کنگاور - اسدآباد,91,92,1
713851,صحنه - کنگاور (متناظر توزين),61,62,1
143201,قم - جمکران (بلوار انتظار),56,57,1
953601,کنگان - عسلويه,96,97,1
543310,بندرانزلي - حسن رود,76,77,1
543360,حسن رود - بندر انزلي,77,78,1
543401,لاهيجان - آستانه,58,59,1
543402.0,آستانه - کياشهر,67,68,1
543403,حسن رود - کياشهر,64,65,1
543404,کوچصفهان - آستانه,71,72,1
333554,اسديه - بيرجند,51,52,1
263852,نوردوز - جلفا,65,66,1
543453,کياشهر - حسن رود,61,62,1
673159,طارم - زنجان (تهم),83,84,1
673160,ماهنشان - سه‌راهي نيک‌پي (بعد از سه‌راهي),65,66,1
873115,مهديشهر - شهميرزاد,88,89,1
263351,تبريز - سهند,90,91,1
544302,فومن - سراوان (سراوان),50,51,1
113855,لواسانات - تهران (تلو),11,12,1
263752,مرند - جلفا,75,76,1
544105,پونل - خلخال,44,45,1
333271,شهداد - نهبندان,89,90,1
543701,املش - کلان کلايه,50,51,1
333272,منصورآباد - بيرجند,100,101,1
543904,اسالم - تالش,61,62,1
543951,آستارا - تالش,69,70,1
933201,عقدا - نائين (عقدا) (متناظر توزين),64,65,1
933168.0,کمربندي تفت - يزد,75,76,1
543954,تالش - اسالم,59,60,1
114206,تهران - وردآورد (همت),82,83,1
673110,سه‌راهي نيک‌پي - ماهنشان (بعد از سه‌راهي),72,73,1
