code,name,est_sum_total_est
153155,آزادراه رشت - قزوين (محمودآباد - قزوين),829640
163104,خزرآباد - ساري,826687
973106,گرگان - آق قلا,820846
543659.0,رامسر - چابکسر (مرز استان),819802
973156,آق قلا - گرگان,819405
153114,آزادراه قزوين - کرج (3کيلومتر مانده به عوارضي 1 قزوين),817313
713102,کرمانشاه - قزانچي,816127
673156,آزادراه قزوين - زنجان (سلطانيه - زنجان),813747
673106,آزادراه زنجان - قزوين (زنجان - سلطانيه) (متناظر توزين),812979
513603,آزادراه تهران - ساوه (مامونيه),809558
673554,آزادراه قزوين - زنجان (صائين قلعه - سلطانيه),808108
513103,اراک - بروجرد,807588
113416,فيروزکوه - دماوند (آبسرد - گيلاوند),805294
643805,ميناب - بندرعباس (پل شور) (متناظر توزين),805239
753101,کوريجان - همدان,802765
673162,آزادراه قزوين - زنجان (خرمدره - صائين قلعه),789565
713153.0,ماهيدشت - کرمانشاه (متناظر توزين),787611
673112,آزادراه زنجان - قزوين (صائين قلعه - خرمدره),780359
143175,راهجرد - سلفچگان,775558
513102,سلفچگان - اراک (کارچان),774687
163501,بهشهر - گلوگاه,769513
933109,يزد - تفت,763925
143168,سلفچگان - قم,762503
153154,آزادراه زنجان - قزوين (مرز استان - تاکستان),762212
113467,فيروزکوه - دماوند (سربندان - آبسرد),758113
513662.0,جاده قديم تهران - ساوه (شهرک صنعتي کاوه - ساوه),757873
543609.0,چابکسر - رامسر (مرز استان),757109
163551,گلوگاه - بهشهر,755973
953264,برازجان - بوشهر (متناظر توزين),749951
713103.0,کرمانشاه - ماهیدشت,749011
713803,بيستون - سه راهي هرسين (متناظر توزين),748580
323101,بجنورد - شيروان (بجنورد),747962
263152,آذرشهر - ايلخچي,743749
363753,سه راهي آغاجاري - بهبهان,739636
163207,رودهن - آمل (پارک جنگلي آمل - آمل) (متناظر توزين),738346
513649,آزادراه سلفچگان - ساوه (عوارضي سلفچگان),737320
163254,بابل - گتاب,733330
263102,ايلخچي - آذرشهر,731939
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),731600
163257,آمل - رودهن (آمل - پارک جنگلي آمل),728294
973401,کردکوي - گلوگاه,727133
933159,تفت - يزد,724496
753508,همدان - کوريجان,724146
363253,شوش - اهواز (شوش - الوان),723564
323151,شيروان - بجنورد (بجنورد),723128
153112,آزادراه قزوين - زنجان (اقباليه),720895
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),719211
184256,ماهدشت - كرج,718486
413111.0,کوار - شيراز (کوار - سه‌راهي کوار),717952
363703,بهبهان - سه راهي آغاجاري,717556
363229,اهواز - شوش (اهواز) (متناظر توزين),713503
813152,سه‌راهي چالان چولان - خرم‌آباد (بروجرد),713329
873452,ايوانکي - شريف‌آباد,711977
153113,آزادراه قزوين - زنجان (تاکستان),711883
913151,آستارا - اردبيل (نمين - گيلانده),709553
873402,شريف آباد - ايوانکي,709164
113263,لواسانات - تهران (طلائيه),708750
773151,سورشجان - شهرکرد,708081
